;ＭＳ７６マップ
(10,23) ; マップの全体サイズ(Ｘ:0-9, Ｙ:0-22)
;-< 0>-< 1>-< 2>-< 3>-< 4>-< 5>-< 6>-< 7>-< 8>-< 9>
    1,   1,   1,   1,   1,   1,   1,   1,   1,   1, ; 0
    1,   1,   1,   1,   1,   1,   1,   1,   1,   1, ; 1
   90,   1,   1,   1,   1,   1,   1,   1,   1,   1, ; 2
   90,  90,   1,   1,   1,   1,   1,   1,   1,   1, ; 3
   90,  90,  90,   1,   1,   1,   1,   1,   1,   1, ; 4
   90,  90,  90,   1,   1,   1,   1,   1,   1,   1, ; 5
   90,  90,  90,  90,   1,   1,   1,   1,   1,   1, ; 6
   90,  90,  90,  90,   1,   1,   1,   1,   1,   1, ; 7
   90,  90,  90,  90,   1,   1,   1,   1,   1,   1, ; 8
   90,  90,  90,  90,   1,   1,   1,   1,   1,   1, ; 9
   90,  90,  90,  90,   1,   1,   1,   1,   1,   1, ;10
   90,  90,  90,  90,   1,   1,   1,   1,   1,   1, ;11
   90,  90,  90,  90,   1,   1,   1,   1,   1,   1, ;12
   90,  90,  90,  90,   1,   1,   1,   1,   1,   1, ;13
   90,  90,  90,  90,   1,   1,   1,   1,   1,   1, ;14
   90,  90,  90,   1,   1,   1,   1,   1,   1,   1, ;15
   90,  90,  90,   1,   1,   1,   1,   1,   1,   1, ;16
   90,  90,   1,   1,   1,   1,   1,   1,   1,   1, ;17
   90,   1,   1,   1,   1,   1,   1,   1,   1,   1, ;18
    1,   1,   1,   1,   1,   1,   1,   1,   1,   1, ;19
    1,   1,  45,   1,   1,   1,   1,   1,   1,   1, ;20
    1,   1,   1,   1,   1,   1,   1,   1,   1,   1, ;21
    1,   1,   1,   1,   1,   1,   1,   1,   1,   1, ;22
;
BG_MAX(592, 360) ; ＢＧの最大サイズ  (37*16, 22*16+8)
BG_ROUT(400,64) ; マップ左上原点のＢＧ上のドット位置(25*16, 4*16)
BG_CHG(0,0)       ; BG_ROUTの座標（省略時は０、０）
SPR_CHG(384,392)  ; スプライトの変換座標（省略時は０、８）
;
;地形名
;GND(27,"特殊合金の床")           ; 地形名１(ＭＡＸ６文字)
GND(01,"@[MS76-gnd-0]")           ; 地形名１(ＭＡＸ６文字)
GND(45,"@[MS76-gnd-1]")           ; 地形名１(ＭＡＸ６文字)

