;ÇlÇrÇXÉ}ÉbÉv
(36,26) ; É}ÉbÉvÇÃëSëÃÉTÉCÉY(Çw:0-35, Çx:0-25)
;-< 0>-< 1>-< 2>-< 3>-< 4>-< 5>-< 6>-< 7>-< 8>-< 9>-<10>-<11>-<12>-<13>-<14>-<15>-<16>-<17>-<18>-<19>-<20>-<21>-<22>-<23>-<24>-<25>-<26>-<27>-<28>-<29>-<30>-<31>-<32>-<33>-<34>-<35>
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 0
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,  38,  38,  38,   1,   1,   1,   1,   1,   1,   1,   1,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 1
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,  38,  38,  38,  38,  38,   1,   1,   1,   1,   1,   1,  90,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 2
    0,   0,   0,   0,   0,   0,   0,   0,   0,  90,   1,  38,  38,  38,  38,  38,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 3
    0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,  38,   1,   1,   1,   1,   1,   1,   1,   1,  38,  38,  38,  38,   1,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 4
    0,   0,   0,   0,   0,   0,   0,  90,   1,   1,   1,   1,   1,   1,  38,  38,  38,   1,   1,   1,   1,  38,  38,  38,  38,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0, ; 5
    0,   0,   0,   0,   0,   0,  90,  90,   1,  38,   1,   1,  38,   1,  38,  38,  38,   1,   1,   1,   1,   1,   1,  38,  38,  38,  38,   1,   1,   1,   0,   0,   0,   0,   0,   0, ; 6
    0,   0,   0,   0,   1,   1,   1,   1,   1,  38,   1,  38,  38,  38,  38,  38,   1,   1,   1,   1,   1,   1,   1,   1,  38,  38,  38,  38,   1,   1,  90,   0,   0,   0,   0,   0, ; 7
    0,   0,   0,   0,   1,   1,   1,  38,  38,  38,   1,   1,  38,  38,  38,  38,  38,   1,   1,   1,   1,   1,   1,   1,   1,   1,  38,  38,  38,   1,   1,   1,   0,   0,   0,   0, ; 8
    0,   0,   0,  90,   1,  38,  38,  38,   1,   1,   1,   1,   1,   1,  38,  38,  38,  38,   1,   1,  38,  38,  38,   1,   1,   1,  38,  38,  38,   1,   1,   1,  90,   0,   0,   0, ; 9
    0,   0,   1,   1,   1,  38,  38,  38,  38,   1,   1,   1,   1,   1,   1,   1,  38,  38,   1,   1,  38,  38,  38,  38,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   0, ;10
    0,   1,   1,  38,  38,  38,   1,  38,  38,  38,  38,   1,   1,   1,   1,   1,   1,   1,   1,  38,  38,  38,  38,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   0, ;11
    0,   1,   1,   1,  38,   1,   1,   1,  38,  38,   1,  80,  80,  80,  80,  80,  80,  80,   1,  38,  38,  38,  38,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1, ;12
    1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,  80,   1,   1,   1,   1,   1,  80,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1, ;13
    1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,  80,   1,   1,   1,   1,   1,  80,  80,   1,   1,   1,  80,  80,  80,  80,  80,  80,  80,  80,  80,   1,   1,   1,   1,   1, ;14
    1,  38,  38,  38,   1,   1,   1,   1,   1,  80,  80,  80,   1,   1,   1,   1,   1,   1,  80,  80,  80,  80,  80,   1,   1,   1,   1,   1,   1,   1,  80,  80,  80,  80,  80,  80, ;15
    0,   1,  38,  38,   1,   1,   1,   1,   1,   1,   1,   1,   1,  38,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1, ;16
    0,   1,  38,   1,   1,   1,   1,   1,  38,   1,   1,   1,  38,  38,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1, ;17
    0,   0,   0,  90,   1,   1,   1,   1,  38,  38,   1,  38,  38,  38,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1, ;18
    0,   0,   0,   0,   1,   1,   1,   1,  38,  38,  38,  38,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   0, ;19
    0,   0,   0,   0,   0,  90,  90,   1,   1,   1,  38,  38,  38,  38,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,  90,   0,   0, ;20
    0,   0,   0,   0,   0,   0,  90,   1,  38,  38,   1,  38,  38,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0, ;21
    0,   0,   0,   0,   0,   0,   0,3101,   1,  38,   1,   1,   1,  38,   1,   1,   1,   1,   1,  90,  90,  90,  90,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0, ;22
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  90,   1,  38,  38,   1,   1,   1,   1,   1,  90,  90,  90,  90,   1,   1,   1,   1,   1,   1,   1,  90,  90,   0,   0,   0,   0, ;23
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   1,  90,  90,  90,  90,   1,   1,   1,   1,   1,   1,   1,  90,   0,   0,   0,   0,   0, ;24
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0, ;25
;
BG_MAX(768, 440)  ; ÇaÇfÇÃç≈ëÂÉTÉCÉY  (48*16, 27*16+8)
BG_ROUT(272, 48)  ; É}ÉbÉvç∂è„å¥ì_ÇÃÇaÇfè„ÇÃÉhÉbÉgà íu(17*16, 3*16)
BG_CHG(4,7)       ; BG_ROUTÇÃç¿ïWÅiè»ó™éûÇÕÇOÅAÇOÅj
SPR_CHG(384,392)  ; ÉXÉvÉâÉCÉgÇÃïœä∑ç¿ïWÅiè»ó™éûÇÕÇOÅAÇWÅj
;
;ínå`ñº
;GND(15,"ÉAÉCÉXÉoÅ[Éì")    ; ínå`ñºÇP(ÇlÇ`ÇwÇUï∂éö)
;GND(10,"êœÇ‡Ç¡ÇΩê·")      ; ínå`ñºÇP(ÇlÇ`ÇwÇUï∂éö)
GND(01,"@[MS09-gnd-0]")     ; ínå`ñºÇP(ÇlÇ`ÇwÇUï∂éö)
GND(38,"@[MS09-gnd-1]")       ; ínå`ñºÇP(ÇlÇ`ÇwÇUï∂éö)

