"","","","","//==================================
// Text block 0 (sector 0x0)
//==================================","","","",""
"","","","","//==================================
// Unindexed strings 
//==================================","","","",""
"string","block0-0x18",,,"製品版コース",,,"=IF(F3=I3, ""UNTRANSLATED"", """")",
"string","block0-0x25",,,"デバックコース",,,"=IF(F4=I4, ""UNTRANSLATED"", """")",
"string","block0-0x34",,,"調整コース",,,"=IF(F5=I5, ""UNTRANSLATED"", """")",
"string","block0-0x3F",,,"ＳＰコース",,,"=IF(F6=I6, ""UNTRANSLATED"", """")",
"string","block0-0x4A",,,"反町くんのコース",,,"=IF(F7=I7, ""UNTRANSLATED"", """")",
"string","block0-0x5B",,,"佐伯くんのコース",,,"=IF(F8=I8, ""UNTRANSLATED"", """")",
"string","block0-0x6C",,,"巻島くんのコース",,,"=IF(F9=I9, ""UNTRANSLATED"", """")",
"string","block0-0x7D",,,"最初から実行",,,"=IF(F10=I10, ""UNTRANSLATED"", """")",
"string","block0-0x8A",,,"佐伯くん実行",,,"=IF(F11=I11, ""UNTRANSLATED"", """")",
"string","block0-0x97",,,"テストコース実行",,,"=IF(F12=I12, ""UNTRANSLATED"", """")",
"string","block0-0xA8",,,"止める",,,"=IF(F13=I13, ""UNTRANSLATED"", """")",
"string","block0-0xAF",,,"佐伯デバッグ",,,"=IF(F14=I14, ""UNTRANSLATED"", """")",
"string","block0-0xBC",,,"ロングレンジ",,,"=IF(F15=I15, ""UNTRANSLATED"", """")",
"string","block0-0xC9",,,"アドベンチャ",,,"=IF(F16=I16, ""UNTRANSLATED"", """")",
"string","block0-0xD6",,,"ムービー",,,"=IF(F17=I17, ""UNTRANSLATED"", """")",
"string","block0-0xDF",,,"ＡＤＰＣＭ",,,"=IF(F18=I18, ""UNTRANSLATED"", """")",
"string","block0-0x120",,,"ＣＨ０１",,,"=IF(F19=I19, ""UNTRANSLATED"", """")",
"string","block0-0x129",,,"ＣＨ０２",,,"=IF(F20=I20, ""UNTRANSLATED"", """")",
"string","block0-0x132",,,"ＣＨ０３",,,"=IF(F21=I21, ""UNTRANSLATED"", """")",
"string","block0-0x13B",,,"ＣＨ０４",,,"=IF(F22=I22, ""UNTRANSLATED"", """")",
"string","block0-0x144",,,"ＣＨ０５",,,"=IF(F23=I23, ""UNTRANSLATED"", """")",
"string","block0-0x14D",,,"やっぱ止める",,,"=IF(F24=I24, ""UNTRANSLATED"", """")",
"string","block0-0x15A",,,"１から８まで",,,"=IF(F25=I25, ""UNTRANSLATED"", """")",
"string","block0-0x167",,,"９から１１とＯＰ・Ｐ１",,,"=IF(F26=I26, ""UNTRANSLATED"", """")",
"string","block0-0x17E",,,"ＭＯＶＩＥ再生",,,"=IF(F27=I27, ""UNTRANSLATED"", """")",
"string","block0-0x18D",,,"０１－２",,,"=IF(F28=I28, ""UNTRANSLATED"", """")",
"string","block0-0x196",,,"０２",,,"=IF(F29=I29, ""UNTRANSLATED"", """")",
"string","block0-0x19B",,,"０３",,,"=IF(F30=I30, ""UNTRANSLATED"", """")",
"string","block0-0x1A0",,,"０４",,,"=IF(F31=I31, ""UNTRANSLATED"", """")",
"string","block0-0x1A5",,,"０５",,,"=IF(F32=I32, ""UNTRANSLATED"", """")",
"string","block0-0x1AA",,,"０６",,,"=IF(F33=I33, ""UNTRANSLATED"", """")",
"string","block0-0x1AF",,,"０７",,,"=IF(F34=I34, ""UNTRANSLATED"", """")",
"string","block0-0x1B4",,,"０８",,,"=IF(F35=I35, ""UNTRANSLATED"", """")",
"string","block0-0x1B9",,,"戻る",,,"=IF(F36=I36, ""UNTRANSLATED"", """")",
"string","block0-0x200",,,"０９－１",,,"=IF(F37=I37, ""UNTRANSLATED"", """")",
"string","block0-0x209",,,"０９－２",,,"=IF(F38=I38, ""UNTRANSLATED"", """")",
"string","block0-0x212",,,"０９－３",,,"=IF(F39=I39, ""UNTRANSLATED"", """")",
"string","block0-0x21B",,,"０９－４",,,"=IF(F40=I40, ""UNTRANSLATED"", """")",
"string","block0-0x224",,,"９－０２",,,"=IF(F41=I41, ""UNTRANSLATED"", """")",
"string","block0-0x22D",,,"１０",,,"=IF(F42=I42, ""UNTRANSLATED"", """")",
"string","block0-0x232",,,"１１",,,"=IF(F43=I43, ""UNTRANSLATED"", """")",
"string","block0-0x237",,,"ＯＰ",,,"=IF(F44=I44, ""UNTRANSLATED"", """")",
"string","block0-0x23C",,,"Ｐ１",,,"=IF(F45=I45, ""UNTRANSLATED"", """")",
"string","block0-0x29D",,,"１Ａ",,,"=IF(F46=I46, ""UNTRANSLATED"", """")",
"string","block0-0x2A2",,,"１Ｂ",,,"=IF(F47=I47, ""UNTRANSLATED"", """")",
"string","block0-0x2A7",,,"２",,,"=IF(F48=I48, ""UNTRANSLATED"", """")",
"string","block0-0x2AA",,,"３",,,"=IF(F49=I49, ""UNTRANSLATED"", """")",
"string","block0-0x2AD",,,"４",,,"=IF(F50=I50, ""UNTRANSLATED"", """")",
"string","block0-0x2B0",,,"５",,,"=IF(F51=I51, ""UNTRANSLATED"", """")",
"string","block0-0x2B3",,,"６",,,"=IF(F52=I52, ""UNTRANSLATED"", """")",
"string","block0-0x2B6",,,"　７",,,"=IF(F53=I53, ""UNTRANSLATED"", """")",
"string","block0-0x2BB",,,"　８",,,"=IF(F54=I54, ""UNTRANSLATED"", """")",
"string","block0-0x2C0",,,"　９",,,"=IF(F55=I55, ""UNTRANSLATED"", """")",
"string","block0-0x2C5",,,"１２",,,"=IF(F56=I56, ""UNTRANSLATED"", """")",
"string","block0-0x2CA",,,"１３",,,"=IF(F57=I57, ""UNTRANSLATED"", """")",
"string","block0-0x2CF",,,"１４Ａ",,,"=IF(F58=I58, ""UNTRANSLATED"", """")",
"string","block0-0x2D6",,,"１４Ｂ",,,"=IF(F59=I59, ""UNTRANSLATED"", """")",
"string","block0-0x2DD",,,"１５",,,"=IF(F60=I60, ""UNTRANSLATED"", """")",
"string","block0-0x2E2",,,"１６",,,"=IF(F61=I61, ""UNTRANSLATED"", """")",
"string","block0-0x2E7",,,"１７Ａ",,,"=IF(F62=I62, ""UNTRANSLATED"", """")",
"string","block0-0x2EE",,,"１７Ｂ",,,"=IF(F63=I63, ""UNTRANSLATED"", """")",
"string","block0-0x2F5",,,"１８",,,"=IF(F64=I64, ""UNTRANSLATED"", """")",
"string","block0-0x2FA",,,"１９",,,"=IF(F65=I65, ""UNTRANSLATED"", """")",
"string","block0-0x2FF",,,"２０",,,"=IF(F66=I66, ""UNTRANSLATED"", """")",
"string","block0-0x304",,,"２１",,,"=IF(F67=I67, ""UNTRANSLATED"", """")",
"string","block0-0x309",,,"２２",,,"=IF(F68=I68, ""UNTRANSLATED"", """")",
"string","block0-0x30E",,,"２３",,,"=IF(F69=I69, ""UNTRANSLATED"", """")",
"string","block0-0x313",,,"２４",,,"=IF(F70=I70, ""UNTRANSLATED"", """")",
"string","block0-0x36C",,,"はい",,,"=IF(F71=I71, ""UNTRANSLATED"", """")",
"string","block0-0x371",,,"いいえ",,,"=IF(F72=I72, ""UNTRANSLATED"", """")",
"string","block0-0x378",,,"まだサンプルを見ますか？",,,"=IF(F73=I73, ""UNTRANSLATED"", """")",
"string","block0-0x391",,,"ＣＨ１",,,"=IF(F74=I74, ""UNTRANSLATED"", """")",
"string","block0-0x398",,,"ＣＨ２",,,"=IF(F75=I75, ""UNTRANSLATED"", """")",
"string","block0-0x39F",,,"ＣＨ３",,,"=IF(F76=I76, ""UNTRANSLATED"", """")",
"string","block0-0x3A6",,,"ＣＨ４",,,"=IF(F77=I77, ""UNTRANSLATED"", """")",
"string","block0-0x3AD",,,"ＣＨ５前",,,"=IF(F78=I78, ""UNTRANSLATED"", """")",
"string","block0-0x3B6",,,"ＣＨ５中",,,"=IF(F79=I79, ""UNTRANSLATED"", """")",
"string","block0-0x3BF",,,"ＣＨ５後",,,"=IF(F80=I80, ""UNTRANSLATED"", """")",
"string","block0-0x3C8",,,"その他１",,,"=IF(F81=I81, ""UNTRANSLATED"", """")",
"string","block0-0x3D1",,,"１",,,"=IF(F82=I82, ""UNTRANSLATED"", """")",
"string","block0-0x3D4",,,"５０",,,"=IF(F83=I83, ""UNTRANSLATED"", """")",
"string","block0-0x3D9",,,"５１",,,"=IF(F84=I84, ""UNTRANSLATED"", """")",
"string","block0-0x3DE",,,"７",,,"=IF(F85=I85, ""UNTRANSLATED"", """")",
"string","block0-0x3E1",,,"８",,,"=IF(F86=I86, ""UNTRANSLATED"", """")",
"string","block0-0x3E4",,,"９",,,"=IF(F87=I87, ""UNTRANSLATED"", """")",
"string","block0-0x3E7",,,"５２",,,"=IF(F88=I88, ""UNTRANSLATED"", """")",
"string","block0-0x3EC",,,"５３（１３）",,,"=IF(F89=I89, ""UNTRANSLATED"", """")",
"string","block0-0x3F9",,,"５４（１５、５５、５７）",,,"=IF(F90=I90, ""UNTRANSLATED"", """")",
"string","block0-0x412",,,"６０（６４、６１、６３）",,,"=IF(F91=I91, ""UNTRANSLATED"", """")",
"string","block0-0x42B",,,"６７（６８）",,,"=IF(F92=I92, ""UNTRANSLATED"", """")",
"string","block0-0x438",,,"６８（７１、１８）",,,"=IF(F93=I93, ""UNTRANSLATED"", """")",
"string","block0-0x44B",,,"６８（７０、６９）",,,"=IF(F94=I94, ""UNTRANSLATED"", """")",
"string","block0-0x45E",,,"１９（７７）",,,"=IF(F95=I95, ""UNTRANSLATED"", """")",
"string","block0-0x46B",,,"２５",,,"=IF(F96=I96, ""UNTRANSLATED"", """")",
"string","block0-0x470",,,"７９",,,"=IF(F97=I97, ""UNTRANSLATED"", """")",
"string","block0-0x475",,,"２６",,,"=IF(F98=I98, ""UNTRANSLATED"", """")",
"string","block0-0x47A",,,"２７",,,"=IF(F99=I99, ""UNTRANSLATED"", """")",
"string","block0-0x47F",,,"８０",,,"=IF(F100=I100, ""UNTRANSLATED"", """")",
"string","block0-0x484",,,"８１",,,"=IF(F101=I101, ""UNTRANSLATED"", """")",
"string","block0-0x489",,,"８２",,,"=IF(F102=I102, ""UNTRANSLATED"", """")",
"string","block0-0x48E",,,"８３",,,"=IF(F103=I103, ""UNTRANSLATED"", """")",
"string","block0-0x493",,,"８４",,,"=IF(F104=I104, ""UNTRANSLATED"", """")",
"string","block0-0x498",,,"１１１",,,"=IF(F105=I105, ""UNTRANSLATED"", """")",
"string","block0-0x49F",,,"８５",,,"=IF(F106=I106, ""UNTRANSLATED"", """")",
