,,,,"//==================================
// Additional status screen labels
//==================================",,,
string,status-label-0,,,攻撃力,Attack,"NOTE: in the original game, the labels for these stats on the status screen are created by clipping the last three characters of the 技攻撃力 and 技防御力 strings, which is both bad practice and not workable for the translation. thus, these new strings are used in their place.",
string,status-label-1,,,防御力,Defense,,
,,,,"//==================================
// Standardized technique descriptions
//==================================",,,
string,techdesc-0-0,,,"ガンを連続発射し
複数の敵を攻撃",Repeatedly fire gun and attack multiple enemies.,,
string,techdesc-0-1,,,"全ての敵を焼き払う
ミラージュの援護射撃",Covering fire from Mirage that burns all enemies to ash.,,
string,techdesc-0-2,,,"光の力を極限まで
開放する究極の攻撃技","The ultimate attack technique, unleashing the power of light to the utmost limit.",,
string,techdesc-1-0,,,"思いやりの力で
周囲の味方をＨＰ回復",Recover surrounding allies' HP with the power of kindness.,,
string,techdesc-1-1,,,"腕を超高速回転させて
必殺パンチを繰り出す","Revolve arms at super-high speeds, delivering rapid-fire killer punches.",,
string,techdesc-1-2,,,"ユーリィが分身して
全ての敵に体当たり",Yuri forms clones and rams all enemies.,"NOTE: ...what is 分身 even supposed to mean as a verb? this, i hope.",
string,techdesc-2-0,,,"超能力で瞬間移動
",Instantaneously move using ESP.,,
string,techdesc-2-1,,,"遠距離からも
仲間のＨＰを回復",Restore an ally's HP from great distances.,,
string,techdesc-2-2,,,"ペットのミルキーが
ライン上の敵に体当り","Her pet, Milky, rams enemies along a line.",,
string,techdesc-3-0,,,"両肩の爆光球で攻撃
マヒの追加効果",Attack with the Lightblast Orbs on either shoulder. Also causes paralysis.,,
string,techdesc-3-1,,,"呼び出したキープ君が
ランダムな効果で援護",A called-up temporary boyfriend provides a random effect as support.,,
string,techdesc-3-2,,,"命中率は低いけど
当たれば必殺ダメージ","Has a low hit rate, but deals massive damage if it connects.",,
string,techdesc-4-0,,,"周囲にいる敵全ての
移動力を減少させる",Reduce the Movement of all surrounding enemies.,,
string,techdesc-4-1,,,"ＨＰを１ターン毎に
ゆっくりと回復",Slowly recover HP each turn.,,
string,techdesc-4-2,,,"レーザーを発射し
ライン攻撃する",Fire a laser and attack along a line.,,
string,techdesc-5-0,,,"超能力で鉄塊を操り
複数の敵を攻撃",Manipulate a lump of iron with psychic power and attack multiple enemies.,,
string,techdesc-5-1,,,"強力な酸で攻撃
防御力を徐々に削る","Attack with powerful acid.\n
Gradually reduces Defense.",,
string,techdesc-5-2,,,"ダンスを舞うような
華麗な連続攻撃",Magnificent repeated attacks as if performing a dance.,,
string,techdesc-6-0,,,"中国４千年の力で
異常状態を回復","Cure status conditions with the power of China's 4,000-year history.","NOTE: in yuna 1, it's china's 5000-year history. in yuna 2, it's a 3000-year history. and now, it's 4000 years. does nobody know how many years of history china actually has? how does it count as ""history"" then?",
string,techdesc-6-1,,,"気を己の体に集めて
攻撃力を飛躍的に増加","Gather Qi in one's body, dramatically increasing Attack.",,
string,techdesc-6-2,,,"拳を高速で繰り出し
周囲の敵を攻撃","Throw repeated punches at high speed, attacking surrounding enemies.",,
string,techdesc-7-0,,,"バラのトゲで攻撃し
追加効果で毒も与える","Attack with a rose's thorns, causing poison as a side effect.",,
